Year,Snow Water Equivalent (in) Start of Month Values,Median Snow Water Equivalent (1981-2010) (in) Start of Month Values
2000,,18.6
2001,14.4,18.6
2002,30,18.6
2003,12.2,18.6
2004,22.1,18.6
2005,5.6,18.6
2006,19.5,18.6
2007,19.8,18.6
2008,27.6,18.6
2009,19.2,18.6
2010,12.3,18.6
2011,18.6,18.6
2012,19.4,18.6
2013,18.4,18.6
2014,16.5,18.6
2015,6.1,18.6
2016,16.6,18.6
2017,20.6,18.6
2018,14.9,18.6
