id,grid_cell,acquired,satellite_id,sun_elevation,pixel_resolution,rows,epsg_code,cloud_cover,ground_control,provider,anomalous_pixels,columns,catalog_id,updated,black_fill,sun_azimuth,origin_y,origin_x,view_angle,strip_id,usable_data,item_type,gsd,published
20101209_190027_1354107_RapidEye-1,1354107,2010-12-09T19:00:27Z,RapidEye-1,34.68489,5,5000,32613,0,True,rapideye,0,5000,4996678,2017-08-23T21:37:18Z,0,180.10371,3624500,307500,-16.2679,4996602,1,REOrthoTile,6.5,2017-08-23T21:37:18Z
20101214_184535_1354107_RapidEye-2,1354107,2010-12-14T18:45:35Z,RapidEye-2,34.16468,5,5000,32613,0,True,rapideye,0,5000,5034123,2017-08-23T21:12:26Z,0,175.33086,3624500,307500,10.3418,5034045,1,REOrthoTile,6.5,2017-08-23T21:12:26Z
20101221_184919_1354107_RapidEye-4,1354107,2010-12-21T18:49:19Z,RapidEye-4,33.96735,5,5000,32613,0,True,rapideye,0,5000,5084549,2017-08-23T20:41:30Z,0,175.43042,3624500,307500,-3.05693,5084441,1,REOrthoTile,6.5,2017-08-23T20:41:30Z
20101218_184948_1354107_RapidEye-1,1354107,2010-12-18T18:49:48Z,RapidEye-1,34.03863,5,5000,32613,0,True,rapideye,0.83,5000,5058941,2017-08-23T20:39:47Z,0.83,175.97411,3624500,307500,0.10466,5058853,0.17,REOrthoTile,6.5,2017-08-23T20:39:47Z
20110122_184204_1354107_RapidEye-3,1354107,2011-01-22T18:42:04Z,RapidEye-3,37.16497,5,5000,32613,0,True,rapideye,0,5000,5365602,2017-08-23T10:51:27Z,0,169.00023,3624500,307500,13.45638,5365536,1,REOrthoTile,6.5,2017-08-23T10:51:27Z
20110127_184652_1354107_RapidEye-3,1354107,2011-01-27T18:46:52Z,RapidEye-3,38.51431,5,5000,32613,0,True,rapideye,0,5000,5414341,2017-08-23T10:02:20Z,0,169.81654,3624500,307500,3.48865,5414266,1,REOrthoTile,6.5,2017-08-23T10:02:20Z
20110304_184523_1354107_RapidEye-1,1354107,2011-03-04T18:45:23Z,RapidEye-1,50.35341,5,5000,32613,0,True,rapideye,0,5000,7067975,2017-08-23T02:35:09Z,0,166.69318,3624500,307500,16.43146,7067877,1,REOrthoTile,6.5,2017-08-23T02:35:09Z
20110404_185302_1354107_RapidEye-3,1354107,2011-04-04T18:53:02Z,RapidEye-3,63.00407,5,5000,32613,0,True,rapideye,0,5000,5979331,2017-08-22T19:54:54Z,0,170.30908,3624500,307500,-6.45481,5979274,1,REOrthoTile,6.5,2017-08-22T19:54:54Z
20110627_185924_1354107_RapidEye-1,1354107,2011-06-27T18:59:24Z,RapidEye-1,80.52083,5,5000,32613,0,True,rapideye,0,5000,6767333,2017-08-21T20:42:53Z,0,164.04406,3624500,307500,-12.54723,6767288,1,REOrthoTile,6.5,2017-08-21T20:42:53Z
20110823_185553_1354107_RapidEye-1,1354107,2011-08-23T18:55:53Z,RapidEye-1,68.65013,5,5000,32613,0,True,rapideye,0,5000,7181065,2017-08-21T05:03:49Z,0,170.26299,3624500,307500,-3.00906,7180974,1,REOrthoTile,6.5,2017-08-21T05:03:49Z
20111104_184353_1354107_RapidEye-3,1354107,2011-11-04T18:43:53Z,RapidEye-3,42.07822,5,5000,32613,0,True,rapideye,0,5000,7856440,2017-08-20T07:04:44Z,0,177.61716,3624500,307500,16.83377,7856322,1,REOrthoTile,6.5,2017-08-20T07:04:44Z
20111128_184702_1354107_RapidEye-3,1354107,2011-11-28T18:47:02Z,RapidEye-3,36.16711,5,5000,32613,0,True,rapideye,0,5000,8044559,2017-08-20T01:16:15Z,0,177.5326,3624500,307500,10.23654,8044456,1,REOrthoTile,6.5,2017-08-20T01:16:15Z
20120116_185358_1354107_RapidEye-4,1354107,2012-01-16T18:53:58Z,RapidEye-4,36.31431,5,5000,32613,0,True,rapideye,0,5000,8412768,2017-08-19T19:45:15Z,0,173.22964,3624500,307500,-6.34132,8412676,1,REOrthoTile,6.5,2017-08-19T19:45:15Z
20120202_185518_1354107_RapidEye-2,1354107,2012-02-02T18:55:18Z,RapidEye-2,40.3343,5,5000,32613,0,True,rapideye,0.52,5000,8539064,2017-08-19T09:08:55Z,0.52,171.82385,3624500,307500,-2.89179,8538956,0.48,REOrthoTile,6.5,2017-08-19T09:08:55Z
20120215_184830_1354107_RapidEye-1,1354107,2012-02-15T18:48:30Z,RapidEye-1,44.16213,5,5000,32613,0,True,rapideye,0,5000,8631518,2017-08-19T05:00:38Z,0,168.65004,3624500,307500,16.39637,8631466,1,REOrthoTile,6.5,2017-08-19T05:00:38Z
