HDOP,Lat,Lon,NumSats,GPSDate,GPSTime,FixTime,BestTime,EndTime
219,46.717445,-116.9918,5,130318,11320800,7564,7590,7563
220,46.717377,-116.99149,7,130318,11383200,6725,23872,23845
232,46.717274,-116.99147,7,130318,11442000,3842,3989,3963
241,46.717342,-116.99162,7,130318,11505000,3060,26176,26148
244,46.717403,-116.99187,7,130318,11563600,4099,4125,4098
113,46.717388,-116.99171,11,130318,12033900,59261,59403,59376
214,46.717327,-116.99176,8,130318,12085000,2240,2388,2362
188,46.717335,-116.99165,7,130318,12145850,2533,2681,2653
249,46.717258,-116.99162,7,130318,12210700,2870,2897,2869
96,46.717274,-116.99157,11,130318,12271400,1751,1903,1874
165,46.716988,-116.99127,8,130318,12332300,2761,2901,2876
136,46.717262,-116.99154,10,130318,12393200,3434,3458,3433
165,46.717232,-116.99151,8,130318,12454000,3283,3309,3281
151,46.717484,-116.99193,8,130318,12514800,3142,3289,3262
209,46.717419,-116.99176,9,130318,12575600,3018,3164,3139
238,46.717327,-116.99168,6,130318,13040400,2945,2971,2944
208,46.717213,-116.99164,6,130318,13101100,1928,1953,1927
208,46.717354,-116.99163,8,130318,13162000,2895,3043,3015
132,46.717384,-116.99162,8,130318,13222800,2939,2966,2938
205,46.717258,-116.99174,7,130318,13283600,3042,3068,3041
125,46.717297,-116.99168,9,130318,13350900,5196,28355,28328
159,46.717224,-116.99165,8,130318,13405300,4134,4281,4255
155,46.717331,-116.99171,8,130318,13470000,3104,3131,3103
191,46.717339,-116.99177,7,130318,13530800,2925,3065,3039
148,46.717331,-116.99136,8,130318,13592400,5149,9289,9262
147,46.717274,-116.99148,7,130318,14052800,3297,3323,3296
144,46.717312,-116.99136,7,130318,14113800,3445,3471,3444
138,46.717377,-116.99149,8,130318,14174800,3569,3714,3689
221,46.717331,-116.99162,7,130318,14235900,3615,4753,4727
139,46.717262,-116.99122,7,130318,14301000,5599,5740,5713
246,46.717319,-116.99173,7,130318,14361900,3546,4687,4661
136,46.717205,-116.99142,7,130318,14422900,4496,4637,4610
135,46.717342,-116.99171,7,130318,14483800,3596,3737,3711
167,46.717361,-116.99161,8,130318,14550900,6855,25003,24977
182,46.717346,-116.99158,7,130318,15010100,4038,7172,7147
190,46.717472,-116.99205,7,130318,15070700,3289,3430,3403
200,46.717422,-116.99181,7,130318,15132000,4343,6472,6445
151,46.717415,-116.99179,10,130318,15195500,4265,33432,33404
160,46.717194,-116.99162,10,130318,15253300,3052,3077,3051
169,46.717419,-116.99176,10,130318,15314000,1815,1958,1930
176,46.717438,-116.99175,10,130318,15374900,2675,2824,2796
187,46.717445,-116.99182,9,130318,15435700,2670,2817,2792
180,46.717422,-116.99184,10,130318,15500600,3677,3821,3793
213,46.717579,-116.99165,9,130318,15561300,2816,2965,2937
210,46.717297,-116.99165,9,130318,16022100,2999,3139,3113
227,46.717396,-116.99165,8,130318,16082900,3170,3315,3288
175,46.71748,-116.99173,9,130318,16143600,3214,4366,4338
164,46.717422,-116.99166,9,130318,16204100,3169,3310,3284
237,46.717392,-116.99165,8,130318,16264900,3283,3424,3397
222,46.717392,-116.9916,7,130318,16325700,2969,2996,2968
247,46.717354,-116.9917,5,130318,16390700,4514,6666,6638
152,46.717381,-116.99168,10,130318,16453900,6406,32588,32558
244,46.717308,-116.99178,8,130318,16511700,4267,4293,4266
230,46.717342,-116.99141,9,130318,16572200,3025,3051,3024
235,46.71735,-116.99174,9,130318,17032900,2907,4059,4034
234,46.717361,-116.99166,9,130318,17093500,2904,4049,4022
239,46.717319,-116.99166,8,130318,17154100,3756,3897,3871
232,46.717381,-116.99184,8,130318,17214700,3615,3762,3737
230,46.71735,-116.99151,8,130318,17275200,2549,2696,2670
231,46.717297,-116.99171,8,130318,17335900,2580,3611,3585
234,46.717335,-116.99174,8,130318,17400500,3393,3534,3508
238,46.717361,-116.99174,8,130318,17461200,2401,4554,4527
243,46.717346,-116.99163,8,130318,17521900,3238,5375,5349
243,46.717403,-116.99181,8,130318,17524500,2184,4330,4303
