iteration,num.plants,plant.size,aim.sum,aim.count,aim.multiples,haf.sum,haf.count,haf.duplicates,plot.average,plot.max
64,Sparse,Medium,23.60896435,11,0,24.51166702,3,3,22.07229474,23.48453047
65,Sparse,Medium,22.51086476,13,3,23.4185988,5,4,22.29782756,23.76633986
66,Sparse,Medium,23.18298194,15,1,23.70174245,6,4,22.48947367,23.83286202
67,Sparse,Medium,22.52228804,12,0,23.6561869,4,3,22.37408929,23.85091725
68,Sparse,Medium,22.58482696,20,5,23.4599481,7,4,22.05778542,23.39442758
69,Sparse,Medium,22.63873374,7,1,23.99709531,3,2,22.28057428,23.66184256
70,Sparse,Medium,23.32985787,11,3,24.02908611,5,1,22.48615316,23.85824568
71,Sparse,Medium,23.21256095,15,3,24.49270193,4,3,22.22883601,23.67126661
72,Sparse,Medium,22.77699303,10,2,23.9789815,4,3,22.11012142,23.54673196
73,Sparse,Medium,22.73430549,8,0,23.34262942,2,1,22.21209539,23.6617699
74,Sparse,Medium,23.38394147,12,1,24.24353455,3,2,22.23996139,23.59769378
75,Sparse,Medium,22.96009557,12,2,24.05184212,5,2,22.22429032,23.56878599
76,Sparse,Medium,22.71702292,4,2,23.82766813,2,1,22.23410314,23.66423641
77,Sparse,Medium,23.17775078,8,1,24.33422927,3,3,22.15308377,23.59068488
78,Sparse,Medium,23.76680674,9,1,24.13090733,4,2,22.28417149,23.65102453
79,Sparse,Medium,22.60034483,16,0,23.73420735,6,3,22.19923909,23.64883861
80,Sparse,Medium,22.73424951,15,3,24.13227689,4,4,22.40539849,23.84794184
81,Sparse,Medium,22.71697316,3,0,23.21092525,1,1,22.30149542,23.70771145
82,Sparse,Medium,22.46058155,4,0,0,0,0,22.1501405,23.55998842
83,Sparse,Medium,22.23569442,10,1,23.39832549,3,3,21.93433452,23.43207792
84,Sparse,Medium,22.55014745,10,0,23.32142711,4,1,22.12094662,23.51720959
85,Sparse,Medium,22.4498237,17,0,23.30733685,4,4,22.02516815,23.44553578
86,Sparse,Medium,23.54992336,3,0,24.5388294,1,0,22.23184145,23.67641113
87,Sparse,Medium,22.66637496,13,0,23.54091367,4,4,22.24115563,23.73269711
88,Sparse,Medium,22.25151186,9,1,24.01070669,3,1,22.29277854,23.72509636
89,Sparse,Medium,21.99067382,5,0,0,0,0,22.13836669,23.57318651
90,Sparse,Medium,22.79372427,15,0,23.42877352,4,2,22.20332727,23.64563887
91,Sparse,Medium,24.13742242,5,0,24.23139561,2,1,22.25096952,23.72972215
92,Sparse,Medium,22.21276239,10,0,23.41725881,4,3,22.34303527,23.75228103
