"SpeciesCode","ScientificName","CommonName","Family","SortSeq","synonymOf","GrowthHabitCode","Duration","Stabilizing","Invasive"
"AAFF",,"AIM Dead Beyond Recognition Code - Annual Forb",,99,,"5","Annual",0,0
"AAGG",,"AIM Dead Beyond Recognition Code - Annual Grass",,99,,"6","Annual",0,0
"ABAM3","Abronia ammophila","Wyoming sand verbena","Nyctaginaceae",99,,"5","Perennial",0,0
"ABCO","Abies concolor","white fir","Pinaceae",99,,"1","Perennial",0,0
"ABEL","Abronia elliptica","fragrant white sand verbena","Nyctaginaceae",99,,"5","Perennial",0,0
"ABFR2","Abronia fragrans","snowball sand verbena","Nyctaginaceae",99,,"5","Perennial",0,0
"ABIES","Abies","fir","Pinaceae",99,,,,0,0
"ABLA","Abies lasiocarpa","subalpine fir","Pinaceae",99,,"1","Perennial",0,0
"ABLAL","Abies lasiocarpa var. lasiocarpa","subalpine fir","Pinaceae",99,,"1","Perennial",0,0
"ABME","Abronia mellifera","white sand verbena","Nyctaginaceae",99,,"5","Perennial",0,0
"ABRON","Abronia","sand verbena","Nyctaginaceae",99,,,,0,0
"ABTH","Abutilon theophrasti","velvetleaf","Malvaceae",99,,"5","Annual",0,0
"ABUTI","Abutilon","Indian mallow","Malvaceae",99,,,,0,0
"ACAR2","Acinos arvensis","basil thyme","Lamiaceae",99,,"5","Perennial",0,0
"ACARO2","Acarospora","cracked lichen","Acarosporaceae",99,,,,0,0
"ACBL","Achnatherum ×bloomeri",,"Poaceae",99,,"6","Perennial",0,0
"ACCO22","Achnatherum contractum","contracted ricegrass","Poaceae",99,,"6","Perennial",0,0
"ACCO4","Aconitum columbianum","Columbian monkshood","Ranunculaceae",99,,"5","Perennial",0,0
"ACCOC3","Aconitum columbianum ssp. columbianum","Columbian monkshood","Ranunculaceae",99,,"5","Perennial",0,0
"ACER","Acer","maple","Aceraceae",99,,,,0,0
"ACGL","Acer glabrum","Rocky Mountain maple","Aceraceae",99,,"1","Perennial",0,0
"ACGLD4","Acer glabrum var. douglasii","Douglas maple","Aceraceae",99,,"1","Perennial",0,0
"ACGLG2","Acer glabrum var. glabrum","Rocky Mountain maple","Aceraceae",99,,"1","Perennial",0,0
"ACGR3","Acer grandidentatum","bigtooth maple","Aceraceae",99,,"1","Perennial",0,0
"ACGRG","Acer grandidentatum var. grandidentatum","bigtooth maple","Aceraceae",99,,"1","Perennial",0,0
"ACHIL","Achillea","yarrow","Asteraceae",99,,,,0,0
"ACHNA","Achnatherum","needlegrass","Poaceae",99,,"6",,0,0
"ACHNAPG","Achnatherum","needlegrass (perennial grass)","Poaceae",99,,"6","Perennial",0,0
"ACHY","Achnatherum hymenoides","Indian ricegrass","Poaceae",99,,"6","Perennial",0,0
"ACINO","Acinos","acinos","Lamiaceae",99,,,,0,0
"ACLE9","Achnatherum lettermanii","Letterman's needlegrass","Poaceae",99,,"6","Perennial",0,0
"ACMI2","Achillea millefolium","common yarrow","Asteraceae",99,,"5","Perennial",0,1
"ACMIA","Achillea millefolium var. alpicola","common yarrow","Asteraceae",99,,"5","Perennial",0,0
"ACMIO","Achillea millefolium var. occidentalis","western yarrow","Asteraceae",99,,"5","Perennial",0,0
"ACNE10","Achnatherum nevadense","Nevada needlegrass","Poaceae",99,,"6","Perennial",0,0
"ACNE2","Acer negundo","boxelder","Aceraceae",99,,"1","Perennial",0,0
"ACNE9","Achnatherum nelsonii","Columbia needlegrass","Poaceae",99,,"6","Perennial",0,0
"ACNED","Achnatherum nelsonii ssp. dorei","Dore's needlegrass","Poaceae",99,,"6","Perennial",0,0
"ACNEI2","Acer negundo var. interius","boxelder","Aceraceae",99,,"1","Perennial",0,0
"ACNEN2","Achnatherum nelsonii ssp. nelsonii","Columbia needlegrass","Poaceae",99,,"6","Perennial",0,0
"ACNEV","Acer negundo var. violaceum","boxelder","Aceraceae",99,,"1","Perennial",0,0
"ACOC3","Achnatherum occidentale","western needlegrass","Poaceae",99,,"6","Perennial",0,0
"ACOCP","Achnatherum occidentale ssp. pubescens","pubescent western needlegrass","Poaceae",99,,"6","Perennial",0,0
"ACONI","Aconitum","monkshood","Ranunculaceae",99,,,,0,0
"ACPI2","Achnatherum pinetorum","pine needlegrass","Poaceae",99,,"6","Perennial",0,0
"ACRE3","Acroptilon repens","hardheads","Asteraceae",99,,"5","Perennial",0,0
"ACRI8","Achnatherum richardsonii","Richardson's needlegrass","Poaceae",99,,"6","Perennial",0,0
"ACRO7","Achnatherum robustum","sleepygrass","Poaceae",99,,"6","Perennial",0,0
"ACROP","Acroptilon","hardheads","Asteraceae",99,,,,0,0
"ACRU2","Actaea rubra","red baneberry","Ranunculaceae",99,,"5","Perennial",0,0
"ACRUA8","Actaea rubra ssp. arguta","red baneberry","Ranunculaceae",99,,"5","Perennial",0,0
"ACSC11","Achnatherum scribneri","Scribner needlegrass","Poaceae",99,,"6","Perennial",0,0
"ACSW3","Achnatherum swallenii","Swallen's needlegrass","Poaceae",99,,"6","Perennial",0,0
"ACTAE","Actaea","baneberry","Ranunculaceae",99,,,,0,0
"ACTH7","Achnatherum thurberianum","Thurber's needlegrass","Poaceae",99,,"6","Perennial",0,0
"ADAL","Adiantum aleuticum","Aleutian maidenhair","Pteridaceae",99,,"5","Perennial",0,0
"ADBI","Adenocaulon bicolor","American trailplant","Asteraceae",99,,"5","Perennial",0,0
"ADENO","Adenocaulon","trailplant","Asteraceae",99,,,,0,0
"ADIAN","Adiantum","maidenhair fern","Pteridaceae",99,,,,0,0
"ADMO","Adoxa moschatellina","muskroot","Adoxaceae",99,,"5","Perennial",0,0
"ADOXA","Adoxa","adoxa","Adoxaceae",99,,,,0,0
"AECY","Aegilops cylindrica","jointed goatgrass","Poaceae",99,,"6","Annual",0,0
"AEGIL","Aegilops","goatgrass","Poaceae",99,,"6",,0,0
"AF01",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF02",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF03",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF04",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF05",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF06",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF07",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF08",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF09",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF10",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF100",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF101",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF102",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF103",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF104",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF105",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF106",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF107",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF108",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF109",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF11",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF110",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF111",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF112",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF113",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF114",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF115",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF116",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF117",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF118",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF119",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF12",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF120",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF121",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF122",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF123",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF124",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF125",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF126",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF127",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF128",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF129",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF13",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF130",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF131",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF132",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF133",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF134",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF135",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF136",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF137",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF138",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF139",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF14",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF140",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF141",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF142",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF143",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF144",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF145",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF146",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF147",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF148",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF149",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF15",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF150",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF151",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF152",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF153",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF154",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF155",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF156",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF157",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF158",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF159",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF16",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF160",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF161",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF162",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF163",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF164",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF165",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF166",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF167",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF168",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF169",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF17",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF170",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF171",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF172",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF173",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF174",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF175",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF176",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF177",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF178",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF179",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF18",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF180",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF181",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF182",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF183",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF184",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF185",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF186",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF187",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF188",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF189",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF19",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF190",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF191",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF192",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF193",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF194",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF195",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF196",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF197",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF198",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF199",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF20",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF200",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF21",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF213",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF22",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF23",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF24",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF25",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF26",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF27",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF28",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF29",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF30",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF31",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF32",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF33",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF34",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF35",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF36",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF37",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF38",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF39",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF40",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF41",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF42",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF43",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF44",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF45",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF46",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF47",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF48",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF49",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF50",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF51",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF52",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF53",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF54",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF55",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF56",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF57",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF58",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF59",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF60",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF61",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF62",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF63",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF64",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF65",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF66",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF67",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF68",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF69",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF70",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF71",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF72",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF73",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF74",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF75",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF76",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF77",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF78",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF79",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF80",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF81",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF82",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF83",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF84",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF85",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF86",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF87",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF88",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF89",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF90",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF91",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF92",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF93",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF94",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF95",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF96",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF97",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF98",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF99",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AG01",,"AIM Generic Code - Annual Grass",,99,,"6","Annual",0,0
"AG02",,"AIM Generic Code - Annual Grass",,99,,"6","Annual",0,0
"AG03",,"AIM Generic Code - Annual Grass",,99,,"6","Annual",0,0
"AG04",,"AIM Generic Code - Annual Grass",,99,,"6","Annual",0,0
"AG05",,"AIM Generic Code - Annual Grass",,99,,"6","Annual",0,0
"AG06",,"AIM Generic Code - Annual Grass",,99,,"6","Annual",0,0
"AG07",,"AIM Generic Code - Annual Grass",,99,,"6","Annual",0,0
"AG08",,"AIM Generic Code - Annual Grass",,99,,"6","Annual",0,0
"AG09",,"AIM Generic Code - Annual Grass",,99,,"6","Annual",0,0
"AG10",,"AIM Generic Code - Annual Grass",,99,,"6","Annual",0,0
"AG11",,"AIM Generic Code - Annual Grass",,99,,"6","Annual",0,0
"AG12",,"AIM Generic Code - Annual Grass",,99,,"6","Annual",0,0
"AG13",,"AIM Generic Code - Annual Grass",,99,,"6","Annual",0,0
"AG14",,"AIM Generic Code - Annual Grass",,99,,"6","Annual",0,0
"AG15",,"AIM Generic Code - Annual Grass",,99,,"6","Annual",0,0
"AG16",,"AIM Generic Code - Annual Grass",,99,,"6","Annual",0,0
"AG17",,"AIM Generic Code - Annual Grass",,99,,"6","Annual",0,0
"AG18",,"AIM Generic Code - Annual Grass",,99,,"6","Annual",0,0
"AG19",,"AIM Generic Code - Annual Grass",,99,,"6","Annual",0,0
"AG20",,"AIM Generic Code - Annual Grass",,99,,"6","Annual",0,0
"AG21",,"AIM Generic Code - Annual Grass",,99,,"6","Annual",0,0
"AG22",,"AIM Generic Code - Annual Grass",,99,,"6","Annual",0,0
"AG23",,"AIM Generic Code - Annual Grass",,99,,"6","Annual",0,0
"AG24",,"AIM Generic Code - Annual Grass",,99,,"6","Annual",0,0
"AG25",,"AIM Generic Code - Annual Grass",,99,,"6","Annual",0,0
"AG26",,"AIM Generic Code - Annual Grass",,99,,"6","Annual",0,0
"AG27",,"AIM Generic Code - Annual Grass",,99,,"6","Annual",0,0
"AG28",,"AIM Generic Code - Annual Grass",,99,,"6","Annual",0,0
"AG29",,"AIM Generic Code - Annual Grass",,99,,"6","Annual",0,0
"AG30",,"AIM Generic Code - Annual Grass",,99,,"6","Annual",0,0
"AG31",,"AIM Generic Code - Annual Grass",,99,,"6","Annual",0,0
"AG32",,"AIM Generic Code - Annual Grass",,99,,"6","Annual",0,0
"AG33",,"AIM Generic Code - Annual Grass",,99,,"6","Annual",0,0
"AG34",,"AIM Generic Code - Annual Grass",,99,,"6","Annual",0,0
"AG35",,"AIM Generic Code - Annual Grass",,99,,"6","Annual",0,0
"AG36",,"AIM Generic Code - Annual Grass",,99,,"6","Annual",0,0
"AG37",,"AIM Generic Code - Annual Grass",,99,,"6","Annual",0,0
"AG38",,"AIM Generic Code - Annual Grass",,99,,"6","Annual",0,0
"AG39",,"AIM Generic Code - Annual Grass",,99,,"6","Annual",0,0
"AG40",,"AIM Generic Code - Annual Grass",,99,,"6","Annual",0,0
"AG41",,"AIM Generic Code - Annual Grass",,99,,"6","Annual",0,0
"AG42",,"AIM Generic Code - Annual Grass",,99,,"6","Annual",0,0
"AG43",,"AIM Generic Code - Annual Grass",,99,,"6","Annual",0,0
"AG44",,"AIM Generic Code - Annual Grass",,99,,"6","Annual",0,0
"AG45",,"AIM Generic Code - Annual Grass",,99,,"6","Annual",0,0
"AG46",,"AIM Generic Code - Annual Grass",,99,,"6","Annual",0,0
"AG47",,"AIM Generic Code - Annual Grass",,99,,"6","Annual",0,0
"AG48",,"AIM Generic Code - Annual Grass",,99,,"6","Annual",0,0
"AG49",,"AIM Generic Code - Annual Grass",,99,,"6","Annual",0,0
"AG50",,"AIM Generic Code - Annual Grass",,99,,"6","Annual",0,0
"AG51",,"AIM Generic Code - Annual Grass",,99,,"6","Annual",0,0
"AG52",,"AIM Generic Code - Annual Grass",,99,,"6","Annual",0,0
"AG53",,"AIM Generic Code - Annual Grass",,99,,"6","Annual",0,0
"AG54",,"AIM Generic Code - Annual Grass",,99,,"6","Annual",0,0
"AG55",,"AIM Generic Code - Annual Grass",,99,,"6","Annual",0,0
"AG56",,"AIM Generic Code - Annual Grass",,99,,"6","Annual",0,0
"AG57",,"AIM Generic Code - Annual Grass",,99,,"6","Annual",0,0
"AG58",,"AIM Generic Code - Annual Grass",,99,,"6","Annual",0,0
"AG59",,"AIM Generic Code - Annual Grass",,99,,"6","Annual",0,0
"AG60",,"AIM Generic Code - Annual Grass",,99,,"6","Annual",0,0
"AG61",,"AIM Generic Code - Annual Grass",,99,,"6","Annual",0,0
"AG62",,"AIM Generic Code - Annual Grass",,99,,"6","Annual",0,0
"AG63",,"AIM Generic Code - Annual Grass",,99,,"6","Annual",0,0
"AG64",,"AIM Generic Code - Annual Grass",,99,,"6","Annual",0,0
"AG65",,"AIM Generic Code - Annual Grass",,99,,"6","Annual",0,0
"AG66",,"AIM Generic Code - Annual Grass",,99,,"6","Annual",0,0
"AG67",,"AIM Generic Code - Annual Grass",,99,,"6","Annual",0,0
"AG68",,"AIM Generic Code - Annual Grass",,99,,"6","Annual",0,0
"AG69",,"AIM Generic Code - Annual Grass",,99,,"6","Annual",0,0
"AG70",,"AIM Generic Code - Annual Grass",,99,,"6","Annual",0,0
"AG71",,"AIM Generic Code - Annual Grass",,99,,"6","Annual",0,0
"AG72",,"AIM Generic Code - Annual Grass",,99,,"6","Annual",0,0
"AG73",,"AIM Generic Code - Annual Grass",,99,,"6","Annual",0,0
"AG74",,"AIM Generic Code - Annual Grass",,99,,"6","Annual",0,0
"AG75",,"AIM Generic Code - Annual Grass",,99,,"6","Annual",0,0
"AG76",,"AIM Generic Code - Annual Grass",,99,,"6","Annual",0,0
"AG77",,"AIM Generic Code - Annual Grass",,99,,"6","Annual",0,0
"AG78",,"AIM Generic Code - Annual Grass",,99,,"6","Annual",0,0
"AG79",,"AIM Generic Code - Annual Grass",,99,,"6","Annual",0,0
"AG80",,"AIM Generic Code - Annual Grass",,99,,"6","Annual",0,0
"AG81",,"AIM Generic Code - Annual Grass",,99,,"6","Annual",0,0
"AG82",,"AIM Generic Code - Annual Grass",,99,,"6","Annual",0,0
"AG83",,"AIM Generic Code - Annual Grass",,99,,"6","Annual",0,0
"AG84",,"AIM Generic Code - Annual Grass",,99,,"6","Annual",0,0
"AG85",,"AIM Generic Code - Annual Grass",,99,,"6","Annual",0,0
"AG86",,"AIM Generic Code - Annual Grass",,99,,"6","Annual",0,0
"AG87",,"AIM Generic Code - Annual Grass",,99,,"6","Annual",0,0
"AG88",,"AIM Generic Code - Annual Grass",,99,,"6","Annual",0,0
"AG89",,"AIM Generic Code - Annual Grass",,99,,"6","Annual",0,0
"AG90",,"AIM Generic Code - Annual Grass",,99,,"6","Annual",0,0
